trip count,tripduration,start date,start time,stop date,stop time,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1,321,1/1/20,10:16:54 AM,1/1/20,10:22:16 AM,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,29239,Subscriber,1966,Male
1,228,1/1/20,10:17:44 AM,1/1/20,10:21:32 AM,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29222,Subscriber,1973,Female
1,210,1/1/20,10:17:47 AM,1/1/20,10:21:17 AM,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29441,Subscriber,1976,Male
1,225,1/1/20,10:23:19 AM,1/1/20,10:27:04 AM,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29305,Subscriber,1989,Male
1,340,1/1/20,10:24:32 AM,1/1/20,10:30:12 AM,3638,Washington St,40.7242941,-74.0354826,3184,Paulus Hook,40.7141454,-74.0335519,26210,Subscriber,1989,Male
1,260,1/1/20,10:29:11 AM,1/1/20,10:33:32 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3638,Washington St,40.7242941,-74.0354826,29444,Subscriber,1986,Female
1,104,1/1/20,10:30:35 AM,1/1/20,10:32:19 AM,3273,Manila & 1st,40.72165072,-74.04288411,3187,Warren St,40.7211236,-74.03805095,29283,Subscriber,1985,Male
1,135,1/1/20,10:31:22 AM,1/1/20,10:33:37 AM,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,29620,Subscriber,1967,Female
1,202,1/1/20,10:38:49 AM,1/1/20,10:42:11 AM,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,29452,Subscriber,1992,Female
1,210,1/1/20,10:38:54 AM,1/1/20,10:42:24 AM,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,29287,Subscriber,1989,Male
1,196,1/1/20,10:38:55 AM,1/1/20,10:42:11 AM,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,29206,Subscriber,1991,Female
1,244,1/1/20,10:40:15 AM,1/1/20,10:44:20 AM,3272,Jersey & 3rd,40.72333159,-74.04595256,3275,Columbus Drive,40.7183552,-74.03891444,29253,Subscriber,1967,Male
1,366,1/1/20,10:41:30 AM,1/1/20,10:47:36 AM,3279,Dixon Mills,40.72163014,-74.04996783,3639,Harborside,40.7192517,-74.034234,29235,Subscriber,1986,Male
1,284,1/1/20,10:43:54 AM,1/1/20,10:48:38 AM,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,26308,Subscriber,1989,Female
1,174,1/1/20,10:45:44 AM,1/1/20,10:48:39 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,29456,Subscriber,1960,Male
1,729,1/1/20,10:47:09 AM,1/1/20,10:59:18 AM,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,29247,Subscriber,1991,Male
1,493,1/1/20,10:49:53 AM,1/1/20,10:58:07 AM,3206,Hilltop,40.7311689,-74.0575736,3206,Hilltop,40.7311689,-74.0575736,26163,Customer,1969,Unknown
1,275,1/1/20,10:51:45 AM,1/1/20,10:56:20 AM,3195,Sip Ave,40.7308971,-74.06391263,3677,Glenwood Ave,40.72755147,-74.07106072,29239,Subscriber,1966,Male
1,331,1/1/20,10:54:34 AM,1/1/20,11:00:06 AM,3199,Newport Pkwy,40.7287448,-74.0321082,3275,Columbus Drive,40.7183552,-74.03891444,29573,Subscriber,1980,Male
1,314,1/1/20,10:54:35 AM,1/1/20,10:59:50 AM,3205,JC Medical Center,40.71653978,-74.04963791,3279,Dixon Mills,40.72163014,-74.04996783,29578,Subscriber,1988,Male
1,178,1/1/20,11:00:27 AM,1/1/20,11:03:25 AM,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,29475,Subscriber,1980,Male
1,292,1/1/20,11:02:17 AM,1/1/20,11:07:10 AM,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,26305,Subscriber,1988,Female
1,427,1/1/20,11:03:43 AM,1/1/20,11:10:50 AM,3187,Warren St,40.7211236,-74.03805095,3203,Hamilton Park,40.72759597,-74.04424731,26226,Subscriber,1984,Female
1,156,1/1/20,11:07:51 AM,1/1/20,11:10:28 AM,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,29489,Subscriber,1990,Male
1,704,1/1/20,11:08:49 AM,1/1/20,11:20:34 AM,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,29273,Subscriber,1991,Male
1,297,1/1/20,11:09:05 AM,1/1/20,11:14:02 AM,3275,Columbus Drive,40.7183552,-74.03891444,3202,Newport PATH,40.7272235,-74.0337589,26300,Subscriber,1973,Female
1,315,1/1/20,11:09:36 AM,1/1/20,11:14:52 AM,3212,Christ Hospital,40.73478582,-74.05044364,3640,Journal Square,40.73367,-74.0625,29523,Subscriber,1991,Female
1,5075,1/1/20,11:11:40 AM,1/1/20,12:36:16 PM,3270,Jersey & 6th St,40.72528911,-74.04557168,3203,Hamilton Park,40.72759597,-74.04424731,26243,Customer,1969,Unknown
1,5077,1/1/20,11:11:41 AM,1/1/20,12:36:18 PM,3270,Jersey & 6th St,40.72528911,-74.04557168,3203,Hamilton Park,40.72759597,-74.04424731,26253,Customer,1969,Unknown
1,853,1/1/20,11:12:30 AM,1/1/20,11:26:44 AM,3269,Brunswick & 6th,40.72601173,-74.05038893,3196,Riverview Park,40.7443187,-74.0439909,26291,Subscriber,1968,Male
1,203,1/1/20,11:18:02 AM,1/1/20,11:21:26 AM,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,29455,Subscriber,1990,Male
1,307,1/1/20,11:24:53 AM,1/1/20,11:30:00 AM,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,29435,Subscriber,1990,Male
1,265,1/1/20,11:26:39 AM,1/1/20,11:31:04 AM,3184,Paulus Hook,40.7141454,-74.0335519,3275,Columbus Drive,40.7183552,-74.03891444,29591,Subscriber,1989,Male
1,212,1/1/20,11:28:22 AM,1/1/20,11:31:55 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3184,Paulus Hook,40.7141454,-74.0335519,29276,Subscriber,1985,Male
1,436,1/1/20,11:30:24 AM,1/1/20,11:37:40 AM,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.0337589,29621,Subscriber,1957,Male
1,434,1/1/20,11:30:24 AM,1/1/20,11:37:38 AM,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.0337589,29246,Subscriber,1956,Male
1,422,1/1/20,11:31:17 AM,1/1/20,11:38:19 AM,3279,Dixon Mills,40.72163014,-74.04996783,3270,Jersey & 6th St,40.72528911,-74.04557168,29578,Subscriber,1988,Male
1,398,1/1/20,11:34:03 AM,1/1/20,11:40:41 AM,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29512,Customer,1969,Unknown
1,399,1/1/20,11:34:03 AM,1/1/20,11:40:43 AM,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29600,Customer,1969,Unknown
1,412,1/1/20,11:34:12 AM,1/1/20,11:41:05 AM,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29120,Customer,1969,Unknown
